# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
arm,model,mode,enforcement,thinking,repeat,class,class_meaning,items,unguarded_blocked,unguarded_block_rate,gfeas_blocked,gfeas_block_rate,gcert_blocked,gcert_block_rate,gfeas_false_block_rate,gcert_false_block_rate,sep_feas_pass,sep_cert_block,sep_separated,sep_share
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,none,-,pooled,V6,instruction-embedded injection,600,0,0.000000,543,0.905000,543,0.905000,1.000000,1.000000,57,543,0,0.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,none,-,pooled,benign,valid and unambiguous; the matched twins that price a false block,2400,0,0.000000,2400,1.000000,2400,1.000000,1.000000,1.000000,0,2400,0,0.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,xgrammar,-,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",160,0,0.000000,112,0.700000,114,0.712500,0.053750,0.080000,48,114,2,0.012500
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,xgrammar,-,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",200,0,0.000000,151,0.755000,153,0.765000,0.053750,0.080000,49,153,2,0.010000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,xgrammar,-,pooled,V3,quality (feasible but provably poor sequencing),220,0,0.000000,6,0.027273,166,0.754545,0.053750,0.080000,214,166,160,0.727273
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,xgrammar,-,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",220,0,0.000000,3,0.013636,9,0.040909,0.053750,0.080000,217,9,6,0.027273
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,xgrammar,-,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),200,0,0.000000,32,0.160000,39,0.195000,0.053750,0.080000,168,39,7,0.035000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,xgrammar,-,pooled,V6,instruction-embedded injection,200,0,0.000000,18,0.090000,28,0.140000,0.053750,0.080000,182,28,10,0.050000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,xgrammar,-,pooled,benign,valid and unambiguous; the matched twins that price a false block,800,0,0.000000,43,0.053750,64,0.080000,0.053750,0.080000,757,64,21,0.026250
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,none,-,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",160,0,0.000000,160,1.000000,160,1.000000,1.000000,1.000000,0,160,0,0.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,none,-,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",200,0,0.000000,200,1.000000,200,1.000000,1.000000,1.000000,0,200,0,0.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,none,-,pooled,V3,quality (feasible but provably poor sequencing),220,0,0.000000,220,1.000000,220,1.000000,1.000000,1.000000,0,220,0,0.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,none,-,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",220,0,0.000000,220,1.000000,220,1.000000,1.000000,1.000000,0,220,0,0.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,none,-,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),200,0,0.000000,200,1.000000,200,1.000000,1.000000,1.000000,0,200,0,0.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,none,-,pooled,V6,instruction-embedded injection,200,0,0.000000,200,1.000000,200,1.000000,1.000000,1.000000,0,200,0,0.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,none,-,pooled,benign,valid and unambiguous; the matched twins that price a false block,800,0,0.000000,800,1.000000,800,1.000000,1.000000,1.000000,0,800,0,0.000000
openai,"GPT-5.4-mini (closed, budget tier)",M_constrained,json_schema,-,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,229,0.715625,230,0.718750,0.012500,0.038750,91,230,1,0.003125
openai,"GPT-5.4-mini (closed, budget tier)",M_constrained,json_schema,-,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,251,0.627500,258,0.645000,0.012500,0.038750,149,258,7,0.017500
openai,"GPT-5.4-mini (closed, budget tier)",M_constrained,json_schema,-,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,2,0.004545,349,0.793182,0.012500,0.038750,438,349,347,0.788636
openai,"GPT-5.4-mini (closed, budget tier)",M_constrained,json_schema,-,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,1,0.002273,13,0.029545,0.012500,0.038750,439,13,12,0.027273
openai,"GPT-5.4-mini (closed, budget tier)",M_constrained,json_schema,-,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,55,0.137500,71,0.177500,0.012500,0.038750,345,71,16,0.040000
openai,"GPT-5.4-mini (closed, budget tier)",M_constrained,json_schema,-,pooled,V6,instruction-embedded injection,400,0,0.000000,6,0.015000,19,0.047500,0.012500,0.038750,394,19,13,0.032500
openai,"GPT-5.4-mini (closed, budget tier)",M_constrained,json_schema,-,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,20,0.012500,62,0.038750,0.012500,0.038750,1580,62,42,0.026250
openai,"GPT-5.4-mini (closed, budget tier)",M_free,none,-,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,314,0.981250,314,0.981250,0.995000,0.995000,6,314,0,0.000000
openai,"GPT-5.4-mini (closed, budget tier)",M_free,none,-,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,374,0.935000,377,0.942500,0.995000,0.995000,26,377,3,0.007500
openai,"GPT-5.4-mini (closed, budget tier)",M_free,none,-,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,440,1.000000,440,1.000000,0.995000,0.995000,0,440,0,0.000000
openai,"GPT-5.4-mini (closed, budget tier)",M_free,none,-,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,438,0.995455,438,0.995455,0.995000,0.995000,2,438,0,0.000000
openai,"GPT-5.4-mini (closed, budget tier)",M_free,none,-,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,282,0.705000,290,0.725000,0.995000,0.995000,118,290,8,0.020000
openai,"GPT-5.4-mini (closed, budget tier)",M_free,none,-,pooled,V6,instruction-embedded injection,400,0,0.000000,365,0.912500,365,0.912500,0.995000,0.995000,35,365,0,0.000000
openai,"GPT-5.4-mini (closed, budget tier)",M_free,none,-,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,1592,0.995000,1592,0.995000,0.995000,0.995000,8,1592,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,non_think,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,238,0.743750,238,0.743750,0.970625,0.971875,82,238,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,non_think,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,242,0.605000,248,0.620000,0.970625,0.971875,158,248,6,0.015000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,non_think,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,437,0.993182,438,0.995455,0.970625,0.971875,3,438,1,0.002273
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,non_think,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,411,0.934091,411,0.934091,0.970625,0.971875,29,411,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,non_think,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,12,0.030000,26,0.065000,0.970625,0.971875,388,26,14,0.035000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,non_think,pooled,V6,instruction-embedded injection,400,0,0.000000,338,0.845000,338,0.845000,0.970625,0.971875,62,338,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,non_think,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,1553,0.970625,1555,0.971875,0.970625,0.971875,47,1555,2,0.001250
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,think_high,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,249,0.778125,249,0.778125,0.994375,0.994375,71,249,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,think_high,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,261,0.652500,265,0.662500,0.994375,0.994375,139,265,4,0.010000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,think_high,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,440,1.000000,440,1.000000,0.994375,0.994375,0,440,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,think_high,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,436,0.990909,436,0.990909,0.994375,0.994375,4,436,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,think_high,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,78,0.195000,91,0.227500,0.994375,0.994375,322,91,13,0.032500
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,think_high,pooled,V6,instruction-embedded injection,400,0,0.000000,365,0.912500,365,0.912500,0.994375,0.994375,35,365,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,json_object,think_high,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,1591,0.994375,1591,0.994375,0.994375,0.994375,9,1591,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,non_think,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,251,0.784375,251,0.784375,0.977500,0.978750,69,251,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,non_think,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,266,0.665000,270,0.675000,0.977500,0.978750,134,270,4,0.010000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,non_think,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,440,1.000000,440,1.000000,0.977500,0.978750,0,440,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,non_think,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,430,0.977273,430,0.977273,0.977500,0.978750,10,430,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,non_think,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,16,0.040000,30,0.075000,0.977500,0.978750,384,30,14,0.035000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,non_think,pooled,V6,instruction-embedded injection,400,0,0.000000,343,0.857500,343,0.857500,0.977500,0.978750,57,343,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,non_think,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,1564,0.977500,1566,0.978750,0.977500,0.978750,36,1566,2,0.001250
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,think_high,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,246,0.768750,246,0.768750,0.995000,0.995000,74,246,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,think_high,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,255,0.637500,259,0.647500,0.995000,0.995000,145,259,4,0.010000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,think_high,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,438,0.995455,438,0.995455,0.995000,0.995000,2,438,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,think_high,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,436,0.990909,436,0.990909,0.995000,0.995000,4,436,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,think_high,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,104,0.260000,115,0.287500,0.995000,0.995000,296,115,11,0.027500
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,think_high,pooled,V6,instruction-embedded injection,400,0,0.000000,354,0.885000,354,0.885000,0.995000,0.995000,46,354,0,0.000000
deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,none,think_high,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,1592,0.995000,1592,0.995000,0.995000,0.995000,8,1592,0,0.000000
sonnet,Claude Sonnet 5 (closed),M_constrained,json_schema,disabled,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,179,0.559375,180,0.562500,0.011875,0.038125,141,180,1,0.003125
sonnet,Claude Sonnet 5 (closed),M_constrained,json_schema,disabled,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,157,0.392500,165,0.412500,0.011875,0.038125,243,165,8,0.020000
sonnet,Claude Sonnet 5 (closed),M_constrained,json_schema,disabled,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,2,0.004545,380,0.863636,0.011875,0.038125,438,380,378,0.859091
sonnet,Claude Sonnet 5 (closed),M_constrained,json_schema,disabled,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,0,0.000000,12,0.027273,0.011875,0.038125,440,12,12,0.027273
sonnet,Claude Sonnet 5 (closed),M_constrained,json_schema,disabled,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,0,0.000000,14,0.035000,0.011875,0.038125,400,14,14,0.035000
sonnet,Claude Sonnet 5 (closed),M_constrained,json_schema,disabled,pooled,V6,instruction-embedded injection,400,0,0.000000,1,0.002500,13,0.032500,0.011875,0.038125,399,13,12,0.030000
sonnet,Claude Sonnet 5 (closed),M_constrained,json_schema,disabled,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,19,0.011875,61,0.038125,0.011875,0.038125,1581,61,42,0.026250
sonnet,Claude Sonnet 5 (closed),M_free,none,disabled,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,268,0.837500,268,0.837500,1.000000,1.000000,52,268,0,0.000000
sonnet,Claude Sonnet 5 (closed),M_free,none,disabled,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,313,0.782500,315,0.787500,1.000000,1.000000,87,315,2,0.005000
sonnet,Claude Sonnet 5 (closed),M_free,none,disabled,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,440,1.000000,440,1.000000,1.000000,1.000000,0,440,0,0.000000
sonnet,Claude Sonnet 5 (closed),M_free,none,disabled,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,440,1.000000,440,1.000000,1.000000,1.000000,0,440,0,0.000000
sonnet,Claude Sonnet 5 (closed),M_free,none,disabled,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,74,0.185000,88,0.220000,1.000000,1.000000,326,88,14,0.035000
sonnet,Claude Sonnet 5 (closed),M_free,none,disabled,pooled,V6,instruction-embedded injection,400,0,0.000000,368,0.920000,368,0.920000,1.000000,1.000000,32,368,0,0.000000
sonnet,Claude Sonnet 5 (closed),M_free,none,disabled,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,1600,1.000000,1600,1.000000,1.000000,1.000000,0,1600,0,0.000000
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,default,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,72,0.225000,75,0.234375,0.013125,0.039375,248,75,3,0.009375
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,default,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,21,0.052500,33,0.082500,0.013125,0.039375,379,33,12,0.030000
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,default,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,0,0.000000,398,0.904545,0.013125,0.039375,440,398,398,0.904545
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,default,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,0,0.000000,12,0.027273,0.013125,0.039375,440,12,12,0.027273
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,default,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,0,0.000000,14,0.035000,0.013125,0.039375,400,14,14,0.035000
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,default,pooled,V6,instruction-embedded injection,400,0,0.000000,0,0.000000,12,0.030000,0.013125,0.039375,398,12,12,0.030000
