qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,96,2,0,0,94,,0.0,0.020833,risk difference (a minus b),MULTI-G more often blocked correct,,,,0.5,exact binomial,MULTI-G vs MULTI-UG | mcnemar_catch,12,1,96,1
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,96,2,26,43,25,,2.0,-0.250000,risk difference (a minus b),MULTI-UG more often passed through,,,,3.03239e-06,exact binomial,MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,3.33562e-05,96,0.000257753
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,240,0,25,,,215,0.0,-1.000000,rank-biserial,"MULTI-G lower weighted tardiness on the 25 differing item(s) (25 lower for MULTI-G, 0 lower for MULTI-UG)",0.0000,-368.0024,-39.9681,5.96046e-08,exact sign-flip (n<=100),MULTI-G vs MULTI-UG | wilcoxon_quality,12,5.96046e-07,96,5.30481e-06
qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r1,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,96,2,1,0,93,,1.0,0.010417,risk difference (a minus b),SINGLE+G more often blocked false,,,,1,exact binomial,SINGLE+G vs MULTI-G | mcnemar_false_block,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r1,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,96,30,0,0,66,,0.0,0.312500,risk difference (a minus b),SINGLE+G more often blocked correct,,,,1.86265e-09,exact binomial,SINGLE+G vs MULTI-G | mcnemar_catch,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r1,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,96,19,0,0,77,,0.0,0.197917,risk difference (a minus b),SINGLE+G more often passed through,,,,3.8147e-06,exact binomial,SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r1,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,240,5,4,,,231,12.0,0.466667,rank-biserial,"MULTI-G lower weighted tardiness on the 9 differing item(s) (4 lower for SINGLE+G, 5 lower for MULTI-G)",0.0000,0.3424,0.7076,0.238281,exact sign-flip (n<=100),SINGLE+G vs MULTI-G | wilcoxon_quality,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r1,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,96,1,0,0,95,,0.0,0.010417,risk difference (a minus b),MULTI-G more often blocked false,,,,1,exact binomial,MULTI-G vs MULTI-UG | mcnemar_false_block,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r1,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,96,0,0,0,96,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),MULTI-G vs MULTI-UG | mcnemar_catch,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r1,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,96,0,0,0,96,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r1,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,240,0,1,,,239,0.0,-1.000000,rank-biserial,"MULTI-G lower weighted tardiness on the 1 differing item(s) (1 lower for MULTI-G, 0 lower for MULTI-UG)",0.0000,-146.6416,-0.6110,1,exact sign-flip (n<=100),MULTI-G vs MULTI-UG | wilcoxon_quality,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r1,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,96,0,0,1,95,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),SINGLE+G vs MULTI-G | mcnemar_false_block,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r1,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,96,1,1,2,92,,1.0,0.000000,risk difference (a minus b),no difference (1 = 1),,,,1,exact binomial,SINGLE+G vs MULTI-G | mcnemar_catch,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r1,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,96,1,5,40,50,,1.0,-0.041667,risk difference (a minus b),MULTI-G more often passed through,,,,0.21875,exact binomial,SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r1,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,240,5,10,,,225,37.0,-0.383333,rank-biserial,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (10 lower for SINGLE+G, 5 lower for MULTI-G)",0.0000,-0.1552,-3.1645,0.207764,exact sign-flip (n<=100),SINGLE+G vs MULTI-G | wilcoxon_quality,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r1,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,96,1,0,0,95,,0.0,0.010417,risk difference (a minus b),MULTI-G more often blocked false,,,,1,exact binomial,MULTI-G vs MULTI-UG | mcnemar_false_block,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r1,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,96,3,0,0,93,,0.0,0.031250,risk difference (a minus b),MULTI-G more often blocked correct,,,,0.25,exact binomial,MULTI-G vs MULTI-UG | mcnemar_catch,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r1,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,96,1,26,44,25,,1.0,-0.260417,risk difference (a minus b),MULTI-UG more often passed through,,,,4.17233e-07,exact binomial,MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,,,,
qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r1,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,240,0,24,,,216,0.0,-1.000000,rank-biserial,"MULTI-G lower weighted tardiness on the 24 differing item(s) (24 lower for MULTI-G, 0 lower for MULTI-UG)",0.0000,-343.1087,-38.4348,1.19209e-07,exact sign-flip (n<=100),MULTI-G vs MULTI-UG | wilcoxon_quality,,,,
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,96,3,0,0,93,,0.0,0.031250,risk difference (a minus b),SINGLE+G more often blocked false,,,,0.25,exact binomial,SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,96,17,0,0,79,,0.0,0.177083,risk difference (a minus b),SINGLE+G more often blocked correct,,,,1.52588e-05,exact binomial,SINGLE+G vs MULTI-G | mcnemar_catch,12,0.000137329,96,0.00126462
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,96,20,0,0,76,,0.0,0.208333,risk difference (a minus b),SINGLE+G more often passed through,,,,1.90735e-06,exact binomial,SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,2.09808e-05,96,0.000164032
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,240,7,8,,,225,49.0,-0.183333,rank-biserial,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (8 lower for SINGLE+G, 7 lower for MULTI-G)",0.0000,-0.0492,-0.1487,0.55188,exact sign-flip (n<=100),SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,96,0,0,0,96,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),MULTI-G vs MULTI-UG | mcnemar_false_block,12,1,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,96,0,0,0,96,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),MULTI-G vs MULTI-UG | mcnemar_catch,12,1,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,96,0,0,0,96,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,1,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,240,0,0,,,240,,,rank-biserial,identical weighted tardiness on every item,0.0000,,0.0000,1,no non-zero differences,MULTI-G vs MULTI-UG | wilcoxon_quality,12,1,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,96,0,2,3,91,,0.0,-0.020833,risk difference (a minus b),MULTI-G more often blocked false,,,,0.5,exact binomial,SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,96,3,10,5,78,,3.0,-0.072917,risk difference (a minus b),MULTI-G more often blocked correct,,,,0.0922852,exact binomial,SINGLE+G vs MULTI-G | mcnemar_catch,12,0.553711,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,96,3,1,45,47,,1.0,0.020833,risk difference (a minus b),SINGLE+G more often passed through,,,,0.625,exact binomial,SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,1,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,240,0,1,,,239,0.0,-1.000000,rank-biserial,"SINGLE+G lower weighted tardiness on the 1 differing item(s) (1 lower for SINGLE+G, 0 lower for MULTI-G)",0.0000,-177.5000,-0.7396,1,exact sign-flip (n<=100),SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,96,5,0,0,91,,0.0,0.052083,risk difference (a minus b),MULTI-G more often blocked false,,,,0.0625,exact binomial,MULTI-G vs MULTI-UG | mcnemar_false_block,12,0.75,96,1
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,96,15,0,0,81,,0.0,0.156250,risk difference (a minus b),MULTI-G more often blocked correct,,,,6.10352e-05,exact binomial,MULTI-G vs MULTI-UG | mcnemar_catch,12,0.000732422,96,0.00488281
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,96,2,20,44,30,,2.0,-0.187500,risk difference (a minus b),MULTI-UG more often passed through,,,,0.000121117,exact binomial,MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,0.00109005,96,0.0094471
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,240,0,22,,,218,0.0,-1.000000,rank-biserial,"MULTI-G lower weighted tardiness on the 22 differing item(s) (22 lower for MULTI-G, 0 lower for MULTI-UG)",0.0000,-404.1572,-36.7888,4.76837e-07,exact sign-flip (n<=100),MULTI-G vs MULTI-UG | wilcoxon_quality,12,3.8147e-06,96,4.14848e-05
openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,96,6,0,0,90,,0.0,0.062500,risk difference (a minus b),SINGLE+G more often blocked false,,,,0.03125,exact binomial,SINGLE+G vs MULTI-G | mcnemar_false_block,12,0.375,96,1
openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,96,35,2,5,54,,2.0,0.343750,risk difference (a minus b),SINGLE+G more often blocked correct,,,,1.02445e-08,exact binomial,SINGLE+G vs MULTI-G | mcnemar_catch,12,1.1269e-07,96,9.42498e-07
openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,96,36,0,2,58,,0.0,0.375000,risk difference (a minus b),SINGLE+G more often passed through,,,,2.91038e-11,exact binomial,SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,3.49246e-10,96,2.79397e-09
openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,240,10,6,,,224,47.0,0.308824,rank-biserial,"MULTI-G lower weighted tardiness on the 16 differing item(s) (6 lower for SINGLE+G, 10 lower for MULTI-G)",0.0000,0.3630,1.9245,0.292908,exact sign-flip (n<=100),SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,96,1
openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,96,0,0,0,96,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),MULTI-G vs MULTI-UG | mcnemar_false_block,12,1,96,1
openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,96,7,0,0,89,,0.0,0.072917,risk difference (a minus b),MULTI-G more often blocked correct,,,,0.015625,exact binomial,MULTI-G vs MULTI-UG | mcnemar_catch,12,0.171875,96,1
openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,96,0,1,2,93,,0.0,-0.010417,risk difference (a minus b),MULTI-UG more often passed through,,,,1,exact binomial,MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,1,96,1
openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,True,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,240,0,1,,,239,0.0,-1.000000,rank-biserial,"MULTI-G lower weighted tardiness on the 1 differing item(s) (1 lower for MULTI-G, 0 lower for MULTI-UG)",0.0000,-468.9612,-1.9540,1,exact sign-flip (n<=100),MULTI-G vs MULTI-UG | wilcoxon_quality,12,1,96,1
openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,96,0,0,1,95,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,96,1
openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,True,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,96,0,2,4,90,,0.0,-0.020833,risk difference (a minus b),MULTI-G more often blocked correct,,,,0.5,exact binomial,SINGLE+G vs MULTI-G | mcnemar_catch,12,1,96,1
