formal,qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,40,1,0,0,39,,0.0,0.025000,risk difference (a minus b),MULTI-G more often blocked correct,,,,1,exact binomial,formal | MULTI-G vs MULTI-UG | mcnemar_catch,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,40,0,11,16,13,,0.0,-0.275000,risk difference (a minus b),MULTI-UG more often passed through,,,,0.000976562,exact binomial,formal | MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,0.0117188,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,98,0,11,,,87,0.0,-1.000000,rank-biserial,"MULTI-G lower weighted tardiness on the 11 differing item(s) (11 lower for MULTI-G, 0 lower for MULTI-UG)",0.0000,-483.1840,-43.1734,0.000976562,exact sign-flip (n<=100),formal | MULTI-G vs MULTI-UG | wilcoxon_quality,12,0.0117188,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,40,3,0,0,37,,0.0,0.075000,risk difference (a minus b),SINGLE+G more often blocked false,,,,0.25,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,40,10,0,0,30,,0.0,0.250000,risk difference (a minus b),SINGLE+G more often blocked correct,,,,0.00195312,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_catch,12,0.0195312,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,40,6,0,0,34,,0.0,0.150000,risk difference (a minus b),SINGLE+G more often passed through,,,,0.03125,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,0.28125,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,98,1,2,,,95,1.0,-0.666667,rank-biserial,"SINGLE+G lower weighted tardiness on the 3 differing item(s) (2 lower for SINGLE+G, 1 lower for MULTI-G)",0.0000,-1.2800,-0.0262,0.5,exact sign-flip (n<=100),formal | SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_false_block,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_catch,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,98,0,0,,,98,,,rank-biserial,identical weighted tardiness on every item,0.0000,,0.0000,1,no non-zero differences,formal | MULTI-G vs MULTI-UG | wilcoxon_quality,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,40,0,1,2,37,,0.0,-0.025000,risk difference (a minus b),MULTI-G more often blocked false,,,,1,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,40,3,4,2,31,,3.0,-0.025000,risk difference (a minus b),MULTI-G more often blocked correct,,,,1,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_catch,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,40,0,1,16,23,,0.0,-0.025000,risk difference (a minus b),MULTI-G more often passed through,,,,1,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,98,0,0,,,98,,,rank-biserial,identical weighted tardiness on every item,0.0000,,0.0000,1,no non-zero differences,formal | SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,40,3,0,0,37,,0.0,0.075000,risk difference (a minus b),MULTI-G more often blocked false,,,,0.25,exact binomial,formal | MULTI-G vs MULTI-UG | mcnemar_false_block,12,1,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,40,6,0,0,34,,0.0,0.150000,risk difference (a minus b),MULTI-G more often blocked correct,,,,0.03125,exact binomial,formal | MULTI-G vs MULTI-UG | mcnemar_catch,12,0.375,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,40,1,8,16,15,,1.0,-0.175000,risk difference (a minus b),MULTI-UG more often passed through,,,,0.0390625,exact binomial,formal | MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,0.3125,,
formal,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",loose,14000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,98,0,8,,,90,0.0,-1.000000,rank-biserial,"MULTI-G lower weighted tardiness on the 8 differing item(s) (8 lower for MULTI-G, 0 lower for MULTI-UG)",0.0000,-541.6616,-38.8904,0.0078125,exact sign-flip (n<=100),formal | MULTI-G vs MULTI-UG | wilcoxon_quality,12,0.0625,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,40,3,0,0,37,,0.0,0.075000,risk difference (a minus b),SINGLE+G more often blocked false,,,,0.25,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,40,16,0,3,21,,0.0,0.400000,risk difference (a minus b),SINGLE+G more often blocked correct,,,,3.05176e-05,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_catch,12,0.000366211,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,40,14,0,2,24,,0.0,0.350000,risk difference (a minus b),SINGLE+G more often passed through,,,,0.00012207,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,0.00146484,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,98,0,2,,,96,0.0,-1.000000,rank-biserial,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (2 lower for SINGLE+G, 0 lower for MULTI-G)",0.0000,-1.6720,-0.0341,0.5,exact sign-flip (n<=100),formal | SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_false_block,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,40,3,0,0,37,,0.0,0.075000,risk difference (a minus b),MULTI-G more often blocked correct,,,,0.25,exact binomial,formal | MULTI-G vs MULTI-UG | mcnemar_catch,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,40,0,0,2,38,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,98,0,0,,,98,,,rank-biserial,identical weighted tardiness on every item,0.0000,,0.0000,1,no non-zero differences,formal | MULTI-G vs MULTI-UG | wilcoxon_quality,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,40,0,1,3,36,,0.0,-0.025000,risk difference (a minus b),MULTI-G more often blocked correct,,,,1,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_catch,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,40,2,1,18,19,,1.0,0.025000,risk difference (a minus b),SINGLE+G more often passed through,,,,1,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,98,0,2,,,96,0.0,-1.000000,rank-biserial,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (2 lower for SINGLE+G, 0 lower for MULTI-G)",0.0000,-5.0320,-0.1027,0.5,exact sign-flip (n<=100),formal | SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_false_block,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,40,4,0,0,36,,0.0,0.100000,risk difference (a minus b),MULTI-G more often blocked correct,,,,0.125,exact binomial,formal | MULTI-G vs MULTI-UG | mcnemar_catch,12,1,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,40,0,9,19,12,,0.0,-0.225000,risk difference (a minus b),MULTI-UG more often passed through,,,,0.00390625,exact binomial,formal | MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,0.0390625,,
formal,openai,"GPT-5.4-mini (closed, budget tier)",loose,18000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,98,0,11,,,87,0.0,-1.000000,rank-biserial,"MULTI-G lower weighted tardiness on the 11 differing item(s) (11 lower for MULTI-G, 0 lower for MULTI-UG)",0.0000,-483.1840,-41.7427,0.000976562,exact sign-flip (n<=100),formal | MULTI-G vs MULTI-UG | wilcoxon_quality,12,0.0117188,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,40,3,1,0,36,,1.0,0.050000,risk difference (a minus b),SINGLE+G more often blocked false,,,,0.625,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,40,5,0,0,35,,0.0,0.125000,risk difference (a minus b),SINGLE+G more often blocked correct,,,,0.0625,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_catch,12,0.4375,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,40,2,0,0,38,,0.0,0.050000,risk difference (a minus b),SINGLE+G more often passed through,,,,0.5,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,1,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,98,0,1,,,97,0.0,-1.000000,rank-biserial,"SINGLE+G lower weighted tardiness on the 1 differing item(s) (1 lower for SINGLE+G, 0 lower for MULTI-G)",0.0000,-1.2800,-0.0131,1,exact sign-flip (n<=100),formal | SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,40,1,0,0,39,,0.0,0.025000,risk difference (a minus b),MULTI-G more often blocked false,,,,1,exact binomial,formal | MULTI-G vs MULTI-UG | mcnemar_false_block,12,1,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_catch,12,1,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,1,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,98,0,0,,,98,,,rank-biserial,identical weighted tardiness on every item,0.0000,,0.0000,1,no non-zero differences,formal | MULTI-G vs MULTI-UG | wilcoxon_quality,12,1,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",loose,20000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,,
formal,deepseek,"DeepSeek V4-Pro (open weights, hosted)",loose,20000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,40,3,0,0,37,,0.0,0.075000,risk difference (a minus b),SINGLE+G more often blocked correct,,,,0.25,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_catch,12,1,,
