# generated 2026-08-17 18:05:45 +0800 by e3_intervals.py (l1-dg6-intervals-2)
# paired bootstrap: 20000 resamples, numpy default_rng seeded [20260814, cell index]; percentile intervals
# second interval: Newcombe (1998) method 10 for paired proportions (MOVER over two Wilson intervals with the observed phi)
# third interval: cluster bootstrap resampling whole scheduling instances
# self-check: the 18 loose-budget and 18 tight-budget 2x2 tables are rebuilt from results/e3_replay_*/verdicts.jsonl and asserted cell for cell against analysis/E8_adjudication.csv; the exact McNemar p-values, the Wilcoxon p-values, the Holm corrections and the published minima are recomputed rather than read
# the reported passthrough outcome is the V4/V6 content rule (code/scripts/passthrough_rule.py): an applied V4 or V6 row counts unless the applied operations are exactly the item's non-empty gold_ops; false_block and catch are dispositions and are unchanged; the e8_* columns of a passthrough row carry E8's earlier disposition-only reading and are not this one
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 02000960325ccbef18394354273795ab22638e252eb7a1f4478a8ad26ad99606
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 a21c32d9ff46d67068822a7b95db6bb4041d268e6816bf7351af8899ef3462de
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 168a8b20626a3b70ea16308f7a56af95abe146da4e5607fdb3d3b6f36692dfee
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 8e42a2c7a2730cee28e6de7aba54b4f96f88c87a712eb5a95c83fb8549106d4b
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8784318b09fb75599bb1d562cf156c3838b407833647fe82712e333b3d46ca36
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 9af87fa798a1aede09a82db34cadee9455d6d20b65302c16f0a4ac89b2453a17
# /home/ziheng/PaperL1/analysis/E8_adjudication.csv sha256 38a6b4222d44e3e3d55ecf9e27864b953093da88f8e79b8cc5c5ae921dfc9eaf
# end-task quality: suite sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# end-task quality: adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# end-task quality: e3_analyze reconciliation 7533/7533 passed
# end-task quality is recomputed by e3_analyze.load_arm / evaluate_rows / build_entries (the guard re-evaluation), because wwt_original_bh is not in results/e3_replay_*/verdicts.jsonl
# margins: 5.0 pp is the primary binary margin and 10.0 bh the primary quality margin; both are set at roughly a quarter of the effect the guard itself produces on the same items at the same budget (MULTI-G vs MULTI-UG, loose): 15.6 to 24.0 pp on violation pass-through under the content rule (16.7 to 25.0 pp under E8's disposition-only reading) and 36.8 to 44.3 bh on mean per-item quality, over the five arms whose unguarded variant emits executable proposals
contrast,arm,model,budget_level,budget_tokens,outcome,outcome_scale,better_direction,unit,n_units,n_clusters,a_only,b_only,both,neither,n_discordant,rate_single_g,rate_multi_g,estimate,boot_ci95_lo,boot_ci95_hi,boot_ci90_lo,boot_ci90_hi,newcombe_ci95_lo,newcombe_ci95_hi,newcombe_ci90_lo,newcombe_ci90_hi,newcombe_phi,cluster_ci95_lo,cluster_ci95_hi,cluster_ci90_lo,cluster_ci90_hi,cluster_vs_iid_max_abs_gap,e8_effect_size,e8_p_raw,e8_p_holm_family,e8_p_holm_agent_layer,e8_direction,favours,margin_primary,tost_verdict_primary,tost_p_boot_primary,tost_p_wald_primary,verdict_margin_low,verdict_margin_mid,verdict_margin_high,min_onedir_discordant_for_sig_alpha05,min_onedir_discordant_for_sig_holm12,min_onedir_discordant_for_sig_holm96,min_onedir_discordant_for_sig_holm96realised,sig_attainable_alpha05,sig_attainable_holm12,sig_attainable_holm96,sig_attainable_holm96realised,mdes80_alpha05_bestcase,mdes80_holm12_bestcase,mdes80_holm96_bestcase,mdes80_holm96realised_bestcase,holm_realised_alpha,mdes80_alpha05_at_observed_discordance,mdes80_holm96_at_observed_discordance
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,15,,,-0.1487,-0.3927,0.0251,-0.3465,0.0082,,,,,,-0.4367,0.0468,-0.3753,0.0309,0.0439,-0.1833,0.55188,1,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (8 lower for SINGLE+G, 7 lower for MULTI-G)",SINGLE+G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000657895,,
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,15,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1833,0.55188,1,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (8 lower for SINGLE+G, 7 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000657895,,
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,15,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,-0.1833,0.55188,1,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (8 lower for SINGLE+G, 7 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,True,True,True,True,,,,,0.000657895,,
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,15,,,93.7500,,,,,,,,,,,,,,,-0.1833,0.55188,1,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (8 lower for SINGLE+G, 7 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000657895,,
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,false_block,pp,lower is better,the 96 matched benign twins,96,52,6,0,0,90,6,6.2500,0.0000,6.2500,2.0833,11.4583,2.0833,10.4167,1.1456,12.9709,2.1982,11.6324,0.0000,2.0408,11.3402,2.4691,10.4651,0.3858,0.0625,0.03125,0.375,1,SINGLE+G more often blocked false,MULTI-G,5.0000,indeterminate,0.7209,0.693559,indeterminate,indeterminate,indeterminate,6,9,12,12,True,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,na,na
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,catch,pp,higher is better,the 96 labelled violations,96,52,35,2,5,54,37,41.6667,7.2917,34.3750,23.9583,44.7917,26.0417,43.7500,23.6811,44.4325,25.4545,42.8562,0.1693,25.0000,43.7500,26.4368,42.2680,1.4820,0.3438,1.02445e-08,1.1269e-07,9.42498e-07,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,1,1,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000657895,18.2604,26.5597
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,passthrough,pp,lower is better,the 96 labelled violations,96,52,19,0,2,75,19,21.8750,2.0833,19.7917,12.5000,28.1250,13.5417,27.0833,12.2377,28.7566,13.4664,27.1885,0.2757,12.7451,27.3684,13.8298,26.1364,0.9470,0.3750,2.91038e-11,3.49246e-10,2.79397e-09,SINGLE+G more often passed through,MULTI-G,5.0000,equivalence refuted,1,0.999862,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000657895,12.9411,17.9288
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,16,,,1.9245,-0.0568,4.9524,0.0795,4.3253,,,,,,-0.0568,4.9952,0.1401,4.3886,0.0634,0.3088,0.292908,1,1,"MULTI-G lower weighted tardiness on the 16 differing item(s) (6 lower for SINGLE+G, 10 lower for MULTI-G)",MULTI-G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000657895,,
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,16,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.3088,0.292908,1,1,"MULTI-G lower weighted tardiness on the 16 differing item(s) (6 lower for SINGLE+G, 10 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000657895,,
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,16,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,0.3088,0.292908,1,1,"MULTI-G lower weighted tardiness on the 16 differing item(s) (6 lower for SINGLE+G, 10 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,True,True,True,True,,,,,0.000657895,,
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,16,,,93.3333,,,,,,,,,,,,,,,0.3088,0.292908,1,1,"MULTI-G lower weighted tardiness on the 16 differing item(s) (6 lower for SINGLE+G, 10 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000657895,,
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,false_block,pp,lower is better,the 96 matched benign twins,96,52,7,1,0,88,8,7.2917,1.0417,6.2500,1.0417,12.5000,2.0833,11.4583,0.2351,13.3281,1.3830,11.9623,-0.0288,1.0870,11.3402,2.0619,10.4762,1.1598,0.0625,0.0703125,0.773438,1,SINGLE+G more often blocked false,MULTI-G,5.0000,indeterminate,0.69595,0.668063,indeterminate,indeterminate,indeterminate,6,9,12,12,True,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,8.2166,na
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,catch,pp,higher is better,the 96 labelled violations,96,52,11,0,0,85,11,11.4583,0.0000,11.4583,5.2083,17.7083,6.2500,16.6667,5.1980,19.3626,6.3406,17.8930,0.0000,5.6180,17.2138,6.5217,16.2162,0.4945,0.1146,0.000976562,0.00683594,0.0732422,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,0.98835,0.976519,equivalence refuted,equivalence refuted,indeterminate,6,9,12,12,True,True,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,9.6931,na
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,passthrough,pp,lower is better,the 96 labelled violations,96,52,3,0,0,93,3,3.1250,0.0000,3.1250,0.0000,7.2917,1.0417,6.2500,-1.2377,8.7887,-0.1928,7.5640,0.0000,0.0000,6.7416,0.9524,6.1224,0.5501,0.0417,0.125,0.875,1,SINGLE+G more often passed through,MULTI-G,5.0000,indeterminate,0.18565,0.145516,indeterminate,indeterminate,equivalence established,6,9,12,12,False,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,na,na
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,2,,,-0.0039,-0.0160,0.0043,-0.0146,0.0029,,,,,,-0.0157,0.0042,-0.0138,0.0030,0.0007,-0.3333,1,1,1,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (1 lower for SINGLE+G, 1 lower for MULTI-G)",SINGLE+G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,False,False,False,False,,,,,0.000657895,,
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,2,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3333,1,1,1,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (1 lower for SINGLE+G, 1 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,False,False,False,False,,,,,0.000657895,,
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,2,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,-0.3333,1,1,1,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (1 lower for SINGLE+G, 1 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,False,False,False,False,,,,,0.000657895,,
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,2,,,99.1667,,,,,,,,,,,,,,,-0.3333,1,1,1,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (1 lower for SINGLE+G, 1 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000657895,,
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,false_block,pp,lower is better,the 96 matched benign twins,96,52,1,4,1,90,5,2.0833,5.2083,-3.1250,-8.3333,1.0417,-7.2917,0.0000,-9.2632,2.0458,-8.0064,0.9870,0.2940,-7.7670,1.1114,-6.9767,0.0000,0.5663,-0.0312,0.375,1,1,MULTI-G more often blocked false,SINGLE+G,5.0000,indeterminate,0.23545,0.208213,indeterminate,indeterminate,equivalence established,6,9,12,12,False,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,na,na
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,catch,pp,higher is better,the 96 labelled violations,96,52,20,1,6,69,21,27.0833,7.2917,19.7917,11.4583,28.1250,12.5000,27.0833,11.4083,28.7515,12.7773,27.2424,0.3700,10.9890,28.5714,12.3596,27.1845,0.4693,0.1979,2.09808e-05,0.000167847,0.00169945,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,0.99995,0.999687,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000657895,13.6596,19.1068
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,passthrough,pp,lower is better,the 96 labelled violations,96,52,8,3,3,82,11,11.4583,6.2500,5.2083,-1.0417,12.5000,0.0000,10.4167,-1.7788,12.7689,-0.5460,11.3979,0.3124,-1.1236,12.0482,0.0000,10.8696,0.4529,0.1458,0.00257683,0.0206146,0.190685,SINGLE+G more often passed through,MULTI-G,5.0000,indeterminate,0.5542,0.524332,indeterminate,indeterminate,indeterminate,6,9,12,12,True,True,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,9.6931,na
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,15,,,0.0224,-0.6139,0.8687,-0.5131,0.6901,,,,,,-0.6075,0.9030,-0.5172,0.7096,0.0342,-0.5667,0.0541382,0.649658,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (11 lower for SINGLE+G, 4 lower for MULTI-G)",MULTI-G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000657895,,
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,15,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5667,0.0541382,0.649658,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (11 lower for SINGLE+G, 4 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000657895,,
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,15,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,-0.5667,0.0541382,0.649658,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (11 lower for SINGLE+G, 4 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,True,True,True,True,,,,,0.000657895,,
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,15,,,93.7500,,,,,,,,,,,,,,,-0.5667,0.0541382,0.649658,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (11 lower for SINGLE+G, 4 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000657895,,
