# DG14. Three deterministic delta baselines against the optimality certificate, on the 2000 items of the direct benchmark
# generated 2026-08-18 01:26:37 +0800 by code/scripts/delta_baselines.py (l1-dg14-delta-baselines-1)
# inputs:
#   direct     analysis/DG1_direct_guard.csv  sha256 32d8e190b4b0ecb725f2ae3ddcf506dec062e736fb6b0d725a273a3f35293a4f
#   summary    analysis/DG1_direct_guard_summary.csv  sha256 e48e336e549d1a02342750d56648fe37f42c6390d3acfb6039bb26f89f9a91bb
#   anchor     analysis/ladder/rule_anchor.csv  sha256 ca31ec0bf9805ef42390e8663257e204da7da4191eb0b2052ad4f0225cb52fc7
#   suite      code/suite/v0.2/suite.jsonl  sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
#   tau_sweep  analysis/DG1_direct_guard_tau.csv  sha256 501a83cc68a8e2221b99ac8c9c1380510afaeb9fb8dfdd47c2be7786be498572
#   macros     manuscript/macros.tex  (read for the two published shares only)
# the delta rules REPLACE THE QUALITY STAGE ONLY: the schema and feasibility verdicts of the logged run are reused unchanged, so the 365 items blocked before the quality stage stay blocked under every guard here
# WT_prop  = obj_bh of the logged run (adjusted fields); recomputed here and asserted equal
# WT_ref1  = no-op dispatch of the UNADJUSTED instance (analysis/ladder/rule_anchor.csv, one per instance)
# WT_ref2  = the same adjusted fields dispatched with the proposal's added dispatch constraints removed (l1suite/checks.py::measure)
# D-REL1 refuses iff (WT_prop-WT_ref1)/max(WT_ref1,1) > theta;  D-REL2 the same against WT_ref2;  D-ABS refuses iff WT_prop-WT_ref1 > A bh
# every WT difference is rounded to 6 decimals in bh before it is thresholded, which is what l1suite/checks.py::measure does to the suite's stored badness
# D-REL1-ORIG is a SENSITIVITY, not a headline baseline: it scores both sides on the instance's original fields
# G-CERT is the deployed certificate, refusing iff the Tier-2 certified gap exceeds the tolerance; its tau=0.2 row is the manuscript's published operating point
# tolerance grid (50 values): 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 1
# absolute grid (20 values, bh): 0.5, 0.6371, 0.8119, 1.0346, 1.3183, 1.6799, 2.1407, 2.7278, 3.476, 4.4293, 5.6442, 7.1922, 9.1649, 11.6786, 14.8818, 18.9635, 24.1647, 30.7924, 39.238, 50
# matched operating point: the setting whose benign false-block count is at most the certificate's (21), maximising V3 refusals, ties to higher overall violation refusal, then fewer benign false blocks, then the widest tolerance
# refused_share denominator = all class items (the convention the published macros use); refused_share_nonempty denominator = items carrying a non-empty proposal
# no randomness anywhere; the dispatcher is deterministic at (rule=atc, seed=0); 1635 counterfactual references recomputed in 48.6 s on 12 worker(s)
# self-check: 118 assertions passed
block,guard,setting_kind,setting,class,items,nonempty_items,reached_qual,pre_qual_refused,qual_refused,refused,refused_share,refused_share_nonempty,stat,note
sweep,D-REL1,theta,0.04,V6,200,175,165,35,15,50,25.0000,28.5714,,
sweep,D-REL1,theta,0.04,violations_all,1200,945,835,365,279,644,53.6667,68.1481,,
sweep,D-REL1,theta,0.04,all,2000,1745,1635,365,291,656,32.8000,37.5931,,
sweep,D-REL1,theta,0.05,benign,800,800,800,0,12,12,1.5000,1.5000,,
sweep,D-REL1,theta,0.05,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.05,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.05,V3,220,220,220,0,213,213,96.8182,96.8182,,
sweep,D-REL1,theta,0.05,V4,220,220,220,0,50,50,22.7273,22.7273,,
sweep,D-REL1,theta,0.05,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.05,V6,200,175,165,35,15,50,25.0000,28.5714,,
sweep,D-REL1,theta,0.05,violations_all,1200,945,835,365,278,643,53.5833,68.0423,,
sweep,D-REL1,theta,0.05,all,2000,1745,1635,365,290,655,32.7500,37.5358,,
sweep,D-REL1,theta,0.06,benign,800,800,800,0,11,11,1.3750,1.3750,,
sweep,D-REL1,theta,0.06,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.06,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.06,V3,220,220,220,0,211,211,95.9091,95.9091,,
sweep,D-REL1,theta,0.06,V4,220,220,220,0,48,48,21.8182,21.8182,,
sweep,D-REL1,theta,0.06,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.06,V6,200,175,165,35,15,50,25.0000,28.5714,,
sweep,D-REL1,theta,0.06,violations_all,1200,945,835,365,274,639,53.2500,67.6190,,
sweep,D-REL1,theta,0.06,all,2000,1745,1635,365,285,650,32.5000,37.2493,,
sweep,D-REL1,theta,0.07,benign,800,800,800,0,11,11,1.3750,1.3750,,
sweep,D-REL1,theta,0.07,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.07,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.07,V3,220,220,220,0,211,211,95.9091,95.9091,,
sweep,D-REL1,theta,0.07,V4,220,220,220,0,48,48,21.8182,21.8182,,
sweep,D-REL1,theta,0.07,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.07,V6,200,175,165,35,15,50,25.0000,28.5714,,
sweep,D-REL1,theta,0.07,violations_all,1200,945,835,365,274,639,53.2500,67.6190,,
sweep,D-REL1,theta,0.07,all,2000,1745,1635,365,285,650,32.5000,37.2493,,
sweep,D-REL1,theta,0.08,benign,800,800,800,0,11,11,1.3750,1.3750,,
sweep,D-REL1,theta,0.08,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.08,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.08,V3,220,220,220,0,208,208,94.5455,94.5455,,
sweep,D-REL1,theta,0.08,V4,220,220,220,0,48,48,21.8182,21.8182,,
sweep,D-REL1,theta,0.08,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.08,V6,200,175,165,35,15,50,25.0000,28.5714,,
sweep,D-REL1,theta,0.08,violations_all,1200,945,835,365,271,636,53.0000,67.3016,,
sweep,D-REL1,theta,0.08,all,2000,1745,1635,365,282,647,32.3500,37.0774,,
sweep,D-REL1,theta,0.09,benign,800,800,800,0,11,11,1.3750,1.3750,,
sweep,D-REL1,theta,0.09,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.09,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.09,V3,220,220,220,0,208,208,94.5455,94.5455,,
sweep,D-REL1,theta,0.09,V4,220,220,220,0,45,45,20.4545,20.4545,,
sweep,D-REL1,theta,0.09,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.09,V6,200,175,165,35,15,50,25.0000,28.5714,,
sweep,D-REL1,theta,0.09,violations_all,1200,945,835,365,268,633,52.7500,66.9841,,
sweep,D-REL1,theta,0.09,all,2000,1745,1635,365,279,644,32.2000,36.9054,,
sweep,D-REL1,theta,0.1,benign,800,800,800,0,11,11,1.3750,1.3750,,
sweep,D-REL1,theta,0.1,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.1,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.1,V3,220,220,220,0,208,208,94.5455,94.5455,,
sweep,D-REL1,theta,0.1,V4,220,220,220,0,45,45,20.4545,20.4545,,
sweep,D-REL1,theta,0.1,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.1,V6,200,175,165,35,15,50,25.0000,28.5714,,
sweep,D-REL1,theta,0.1,violations_all,1200,945,835,365,268,633,52.7500,66.9841,,
sweep,D-REL1,theta,0.1,all,2000,1745,1635,365,279,644,32.2000,36.9054,,
sweep,D-REL1,theta,0.11,benign,800,800,800,0,10,10,1.2500,1.2500,,
sweep,D-REL1,theta,0.11,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.11,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.11,V3,220,220,220,0,206,206,93.6364,93.6364,,
sweep,D-REL1,theta,0.11,V4,220,220,220,0,45,45,20.4545,20.4545,,
sweep,D-REL1,theta,0.11,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.11,V6,200,175,165,35,13,48,24.0000,27.4286,,
sweep,D-REL1,theta,0.11,violations_all,1200,945,835,365,264,629,52.4167,66.5608,,
sweep,D-REL1,theta,0.11,all,2000,1745,1635,365,274,639,31.9500,36.6189,,
sweep,D-REL1,theta,0.12,benign,800,800,800,0,9,9,1.1250,1.1250,,
sweep,D-REL1,theta,0.12,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.12,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.12,V3,220,220,220,0,205,205,93.1818,93.1818,,
sweep,D-REL1,theta,0.12,V4,220,220,220,0,45,45,20.4545,20.4545,,
sweep,D-REL1,theta,0.12,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.12,V6,200,175,165,35,13,48,24.0000,27.4286,,
sweep,D-REL1,theta,0.12,violations_all,1200,945,835,365,263,628,52.3333,66.4550,,
sweep,D-REL1,theta,0.12,all,2000,1745,1635,365,272,637,31.8500,36.5043,,
sweep,D-REL1,theta,0.13,benign,800,800,800,0,9,9,1.1250,1.1250,,
sweep,D-REL1,theta,0.13,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.13,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.13,V3,220,220,220,0,204,204,92.7273,92.7273,,
sweep,D-REL1,theta,0.13,V4,220,220,220,0,44,44,20.0000,20.0000,,
sweep,D-REL1,theta,0.13,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.13,V6,200,175,165,35,13,48,24.0000,27.4286,,
sweep,D-REL1,theta,0.13,violations_all,1200,945,835,365,261,626,52.1667,66.2434,,
sweep,D-REL1,theta,0.13,all,2000,1745,1635,365,270,635,31.7500,36.3897,,
sweep,D-REL1,theta,0.14,benign,800,800,800,0,9,9,1.1250,1.1250,,
sweep,D-REL1,theta,0.14,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.14,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.14,V3,220,220,220,0,204,204,92.7273,92.7273,,
sweep,D-REL1,theta,0.14,V4,220,220,220,0,42,42,19.0909,19.0909,,
sweep,D-REL1,theta,0.14,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.14,V6,200,175,165,35,13,48,24.0000,27.4286,,
sweep,D-REL1,theta,0.14,violations_all,1200,945,835,365,259,624,52.0000,66.0317,,
sweep,D-REL1,theta,0.14,all,2000,1745,1635,365,268,633,31.6500,36.2751,,
sweep,D-REL1,theta,0.15,benign,800,800,800,0,9,9,1.1250,1.1250,,
sweep,D-REL1,theta,0.15,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.15,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.15,V3,220,220,220,0,204,204,92.7273,92.7273,,
sweep,D-REL1,theta,0.15,V4,220,220,220,0,42,42,19.0909,19.0909,,
sweep,D-REL1,theta,0.15,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.15,V6,200,175,165,35,12,47,23.5000,26.8571,,
sweep,D-REL1,theta,0.15,violations_all,1200,945,835,365,258,623,51.9167,65.9259,,
sweep,D-REL1,theta,0.15,all,2000,1745,1635,365,267,632,31.6000,36.2178,,
sweep,D-REL1,theta,0.16,benign,800,800,800,0,8,8,1.0000,1.0000,,
sweep,D-REL1,theta,0.16,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.16,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.16,V3,220,220,220,0,202,202,91.8182,91.8182,,
sweep,D-REL1,theta,0.16,V4,220,220,220,0,41,41,18.6364,18.6364,,
sweep,D-REL1,theta,0.16,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.16,V6,200,175,165,35,10,45,22.5000,25.7143,,
sweep,D-REL1,theta,0.16,violations_all,1200,945,835,365,253,618,51.5000,65.3968,,
sweep,D-REL1,theta,0.16,all,2000,1745,1635,365,261,626,31.3000,35.8739,,
sweep,D-REL1,theta,0.17,benign,800,800,800,0,7,7,0.8750,0.8750,,
sweep,D-REL1,theta,0.17,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.17,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.17,V3,220,220,220,0,199,199,90.4545,90.4545,,
sweep,D-REL1,theta,0.17,V4,220,220,220,0,41,41,18.6364,18.6364,,
sweep,D-REL1,theta,0.17,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.17,V6,200,175,165,35,10,45,22.5000,25.7143,,
sweep,D-REL1,theta,0.17,violations_all,1200,945,835,365,250,615,51.2500,65.0794,,
sweep,D-REL1,theta,0.17,all,2000,1745,1635,365,257,622,31.1000,35.6447,,
sweep,D-REL1,theta,0.18,benign,800,800,800,0,7,7,0.8750,0.8750,,
sweep,D-REL1,theta,0.18,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.18,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.18,V3,220,220,220,0,198,198,90.0000,90.0000,,
sweep,D-REL1,theta,0.18,V4,220,220,220,0,40,40,18.1818,18.1818,,
sweep,D-REL1,theta,0.18,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.18,V6,200,175,165,35,9,44,22.0000,25.1429,,
sweep,D-REL1,theta,0.18,violations_all,1200,945,835,365,247,612,51.0000,64.7619,,
sweep,D-REL1,theta,0.18,all,2000,1745,1635,365,254,619,30.9500,35.4728,,
sweep,D-REL1,theta,0.19,benign,800,800,800,0,7,7,0.8750,0.8750,,
sweep,D-REL1,theta,0.19,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.19,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.19,V3,220,220,220,0,195,195,88.6364,88.6364,,
sweep,D-REL1,theta,0.19,V4,220,220,220,0,37,37,16.8182,16.8182,,
sweep,D-REL1,theta,0.19,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.19,V6,200,175,165,35,9,44,22.0000,25.1429,,
sweep,D-REL1,theta,0.19,violations_all,1200,945,835,365,241,606,50.5000,64.1270,,
sweep,D-REL1,theta,0.19,all,2000,1745,1635,365,248,613,30.6500,35.1289,,
sweep,D-REL1,theta,0.2,benign,800,800,800,0,7,7,0.8750,0.8750,,
sweep,D-REL1,theta,0.2,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.2,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.2,V3,220,220,220,0,192,192,87.2727,87.2727,,
sweep,D-REL1,theta,0.2,V4,220,220,220,0,37,37,16.8182,16.8182,,
sweep,D-REL1,theta,0.2,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.2,V6,200,175,165,35,9,44,22.0000,25.1429,,
sweep,D-REL1,theta,0.2,violations_all,1200,945,835,365,238,603,50.2500,63.8095,,
sweep,D-REL1,theta,0.2,all,2000,1745,1635,365,245,610,30.5000,34.9570,,
sweep,D-REL1,theta,0.21,benign,800,800,800,0,7,7,0.8750,0.8750,,
sweep,D-REL1,theta,0.21,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.21,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.21,V3,220,220,220,0,190,190,86.3636,86.3636,,
sweep,D-REL1,theta,0.21,V4,220,220,220,0,37,37,16.8182,16.8182,,
sweep,D-REL1,theta,0.21,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.21,V6,200,175,165,35,6,41,20.5000,23.4286,,
sweep,D-REL1,theta,0.21,violations_all,1200,945,835,365,233,598,49.8333,63.2804,,
sweep,D-REL1,theta,0.21,all,2000,1745,1635,365,240,605,30.2500,34.6705,,
sweep,D-REL1,theta,0.22,benign,800,800,800,0,7,7,0.8750,0.8750,,
sweep,D-REL1,theta,0.22,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.22,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.22,V3,220,220,220,0,189,189,85.9091,85.9091,,
sweep,D-REL1,theta,0.22,V4,220,220,220,0,37,37,16.8182,16.8182,,
sweep,D-REL1,theta,0.22,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.22,V6,200,175,165,35,6,41,20.5000,23.4286,,
sweep,D-REL1,theta,0.22,violations_all,1200,945,835,365,232,597,49.7500,63.1746,,
sweep,D-REL1,theta,0.22,all,2000,1745,1635,365,239,604,30.2000,34.6132,,
sweep,D-REL1,theta,0.23,benign,800,800,800,0,5,5,0.6250,0.6250,,
sweep,D-REL1,theta,0.23,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.23,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.23,V3,220,220,220,0,188,188,85.4545,85.4545,,
sweep,D-REL1,theta,0.23,V4,220,220,220,0,37,37,16.8182,16.8182,,
sweep,D-REL1,theta,0.23,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.23,V6,200,175,165,35,6,41,20.5000,23.4286,,
sweep,D-REL1,theta,0.23,violations_all,1200,945,835,365,231,596,49.6667,63.0688,,
sweep,D-REL1,theta,0.23,all,2000,1745,1635,365,236,601,30.0500,34.4413,,
sweep,D-REL1,theta,0.24,benign,800,800,800,0,5,5,0.6250,0.6250,,
sweep,D-REL1,theta,0.24,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.24,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.24,V3,220,220,220,0,184,184,83.6364,83.6364,,
sweep,D-REL1,theta,0.24,V4,220,220,220,0,36,36,16.3636,16.3636,,
sweep,D-REL1,theta,0.24,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.24,V6,200,175,165,35,4,39,19.5000,22.2857,,
sweep,D-REL1,theta,0.24,violations_all,1200,945,835,365,224,589,49.0833,62.3280,,
sweep,D-REL1,theta,0.24,all,2000,1745,1635,365,229,594,29.7000,34.0401,,
sweep,D-REL1,theta,0.25,benign,800,800,800,0,5,5,0.6250,0.6250,,
sweep,D-REL1,theta,0.25,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.25,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.25,V3,220,220,220,0,180,180,81.8182,81.8182,,
sweep,D-REL1,theta,0.25,V4,220,220,220,0,35,35,15.9091,15.9091,,
sweep,D-REL1,theta,0.25,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.25,V6,200,175,165,35,4,39,19.5000,22.2857,,
sweep,D-REL1,theta,0.25,violations_all,1200,945,835,365,219,584,48.6667,61.7989,,
sweep,D-REL1,theta,0.25,all,2000,1745,1635,365,224,589,29.4500,33.7536,,
sweep,D-REL1,theta,0.26,benign,800,800,800,0,5,5,0.6250,0.6250,,
sweep,D-REL1,theta,0.26,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.26,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.26,V3,220,220,220,0,179,179,81.3636,81.3636,,
sweep,D-REL1,theta,0.26,V4,220,220,220,0,35,35,15.9091,15.9091,,
sweep,D-REL1,theta,0.26,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.26,V6,200,175,165,35,3,38,19.0000,21.7143,,
sweep,D-REL1,theta,0.26,violations_all,1200,945,835,365,217,582,48.5000,61.5873,,
sweep,D-REL1,theta,0.26,all,2000,1745,1635,365,222,587,29.3500,33.6390,,
sweep,D-REL1,theta,0.27,benign,800,800,800,0,4,4,0.5000,0.5000,,
sweep,D-REL1,theta,0.27,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.27,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.27,V3,220,220,220,0,177,177,80.4545,80.4545,,
sweep,D-REL1,theta,0.27,V4,220,220,220,0,34,34,15.4545,15.4545,,
sweep,D-REL1,theta,0.27,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.27,V6,200,175,165,35,3,38,19.0000,21.7143,,
