# generated 2026-08-14 18:49:54 +0800 by e3_intervals.py (l1-dg6-intervals-1)
# paired bootstrap: 20000 resamples, numpy default_rng seeded [20260814, cell index]; percentile intervals
# second interval: Newcombe (1998) method 10 for paired proportions (MOVER over two Wilson intervals with the observed phi)
# third interval: cluster bootstrap resampling whole scheduling instances
# self-check: the 18 loose-budget and 18 tight-budget 2x2 tables are rebuilt from results/e3_replay_*/verdicts.jsonl and asserted cell for cell against analysis/E8_adjudication.csv; the exact McNemar p-values, the Wilcoxon p-values, the Holm corrections and the published minima are recomputed rather than read
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 68d598fcab8bb6aff9bd83e73f4548df1bc7bef426a07bd1f048de59ffc2f37f
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 73aa56d7e1e552278b0561b3fa26a7b10e0407a9e9ec6e0de3ea880e0517ad77
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 2009fa24a47dc0efe3afc2ed38edd039eb0b8b43b675337ae5acd718e0139028
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 dcab33a1e04f1d7116ae5cf7c751aeaf5d5a5523ca023042926057b56b2fc61f
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8d7487aa2976b619ee9a019f2259b84b03d8937f48b559d0aee21d761ed4ee96
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 f0d25bb6a6c3ea1c797525473724344e06f04fdb59c5fbbb738aa95c4627eb19
# /home/ziheng/PaperL1/analysis/E8_adjudication.csv sha256 be62fba9aa805e786cf6048ab5d15e937ef22b9b2087d7f810d75a1fe65554e0
# end-task quality: suite sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# end-task quality: adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# end-task quality: e3_analyze reconciliation 7533/7533 passed
# end-task quality is recomputed by e3_analyze.load_arm / evaluate_rows / build_entries (the guard re-evaluation), because wwt_original_bh is not in results/e3_replay_*/verdicts.jsonl
# margins: 5.0 pp is the primary binary margin and 10.0 bh the primary quality margin; both are set at roughly a quarter of the effect the guard itself produces on the same items at the same budget (MULTI-G vs MULTI-UG, loose): 17.7 to 25.0 pp on violation pass-through and 36.8 to 44.3 bh on mean per-item quality, over the five arms whose unguarded variant emits executable proposals
contrast,arm,model,budget_level,budget_tokens,outcome,outcome_scale,better_direction,unit,n_units,n_clusters,a_only,b_only,both,neither,n_discordant,rate_single_g,rate_multi_g,estimate,boot_ci95_lo,boot_ci95_hi,boot_ci90_lo,boot_ci90_hi,newcombe_ci95_lo,newcombe_ci95_hi,newcombe_ci90_lo,newcombe_ci90_hi,newcombe_phi,cluster_ci95_lo,cluster_ci95_hi,cluster_ci90_lo,cluster_ci90_hi,cluster_vs_iid_max_abs_gap,e8_effect_size,e8_p_raw,e8_p_holm_family,e8_p_holm_agent_layer,e8_direction,favours,margin_primary,tost_verdict_primary,tost_p_boot_primary,tost_p_wald_primary,verdict_margin_low,verdict_margin_mid,verdict_margin_high,min_onedir_discordant_for_sig_alpha05,min_onedir_discordant_for_sig_holm12,min_onedir_discordant_for_sig_holm96,min_onedir_discordant_for_sig_holm96realised,sig_attainable_alpha05,sig_attainable_holm12,sig_attainable_holm96,sig_attainable_holm96realised,mdes80_alpha05_bestcase,mdes80_holm12_bestcase,mdes80_holm96_bestcase,mdes80_holm96realised_bestcase,holm_realised_alpha,mdes80_alpha05_at_observed_discordance,mdes80_holm96_at_observed_discordance
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,15,,,-0.1487,-0.3927,0.0251,-0.3465,0.0082,,,,,,-0.4367,0.0468,-0.3753,0.0309,0.0439,-0.1833,0.55188,1,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (8 lower for SINGLE+G, 7 lower for MULTI-G)",SINGLE+G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000666667,,
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,15,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1833,0.55188,1,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (8 lower for SINGLE+G, 7 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000666667,,
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,15,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,-0.1833,0.55188,1,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (8 lower for SINGLE+G, 7 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,True,True,True,True,,,,,0.000666667,,
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,15,,,93.7500,,,,,,,,,,,,,,,-0.1833,0.55188,1,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (8 lower for SINGLE+G, 7 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000666667,,
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,false_block,pp,lower is better,the 96 matched benign twins,96,52,6,0,0,90,6,6.2500,0.0000,6.2500,2.0833,11.4583,2.0833,10.4167,1.1456,12.9709,2.1982,11.6324,0.0000,2.0408,11.3402,2.4691,10.4651,0.3858,0.0625,0.03125,0.375,1,SINGLE+G more often blocked false,MULTI-G,5.0000,indeterminate,0.7209,0.693559,indeterminate,indeterminate,indeterminate,6,9,12,12,True,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000666667,na,na
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,catch,pp,higher is better,the 96 labelled violations,96,52,36,2,5,53,38,42.7083,7.2917,35.4167,25.0000,45.8333,27.0833,44.7917,24.6287,45.4896,26.4205,43.9171,0.1628,25.8427,44.8276,27.3684,43.3333,1.4583,0.3542,5.39876e-09,5.93864e-08,5.02085e-07,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,1,1,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000666667,18.4873,26.9288
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,passthrough,pp,lower is better,the 96 labelled violations,96,52,35,0,2,59,35,38.5417,2.0833,36.4583,27.0833,45.8333,28.1250,44.7917,26.8324,46.2905,28.4126,44.6943,0.1842,27.4725,45.6522,28.8660,44.0860,0.7410,0.3646,5.82077e-11,6.98492e-10,5.58794e-09,SINGLE+G more often passed through,MULTI-G,5.0000,equivalence refuted,1,1,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000666667,17.7943,25.8236
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,16,,,1.9245,-0.0568,4.9524,0.0795,4.3253,,,,,,-0.0568,4.9952,0.1401,4.3886,0.0634,0.3088,0.292908,1,1,"MULTI-G lower weighted tardiness on the 16 differing item(s) (6 lower for SINGLE+G, 10 lower for MULTI-G)",MULTI-G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000666667,,
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,16,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.3088,0.292908,1,1,"MULTI-G lower weighted tardiness on the 16 differing item(s) (6 lower for SINGLE+G, 10 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000666667,,
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,16,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,0.3088,0.292908,1,1,"MULTI-G lower weighted tardiness on the 16 differing item(s) (6 lower for SINGLE+G, 10 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,True,True,True,True,,,,,0.000666667,,
SINGLE+G vs MULTI-G,openai,"GPT-5.4-mini (closed, budget tier)",tight,4500,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,16,,,93.3333,,,,,,,,,,,,,,,0.3088,0.292908,1,1,"MULTI-G lower weighted tardiness on the 16 differing item(s) (6 lower for SINGLE+G, 10 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000666667,,
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,false_block,pp,lower is better,the 96 matched benign twins,96,52,7,1,0,88,8,7.2917,1.0417,6.2500,1.0417,12.5000,2.0833,11.4583,0.2351,13.3281,1.3830,11.9623,-0.0288,1.0870,11.3402,2.0619,10.4762,1.1598,0.0625,0.0703125,0.703125,1,SINGLE+G more often blocked false,MULTI-G,5.0000,indeterminate,0.69595,0.668063,indeterminate,indeterminate,indeterminate,6,9,12,12,True,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000666667,8.2166,na
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,catch,pp,higher is better,the 96 labelled violations,96,52,11,0,0,85,11,11.4583,0.0000,11.4583,5.2083,17.7083,6.2500,16.6667,5.1980,19.3626,6.3406,17.8930,0.0000,5.6180,17.2138,6.5217,16.2162,0.4945,0.1146,0.000976562,0.00683594,0.0732422,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,0.98835,0.976519,equivalence refuted,equivalence refuted,indeterminate,6,9,12,12,True,True,False,False,8.1107,11.6441,15.0861,15.0861,0.000666667,9.6931,na
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,passthrough,pp,lower is better,the 96 labelled violations,96,52,4,0,0,92,4,4.1667,0.0000,4.1667,1.0417,8.3333,1.0417,7.2917,-0.4407,10.2282,0.5997,8.9618,0.0000,1.0000,8.3333,1.0753,7.6087,0.3170,0.0417,0.125,0.875,1,SINGLE+G more often passed through,MULTI-G,5.0000,indeterminate,0.3746,0.341415,indeterminate,indeterminate,equivalence established,6,9,12,12,False,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000666667,na,na
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,2,,,-0.0039,-0.0160,0.0043,-0.0146,0.0029,,,,,,-0.0157,0.0042,-0.0138,0.0030,0.0007,-0.3333,1,1,1,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (1 lower for SINGLE+G, 1 lower for MULTI-G)",SINGLE+G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,False,False,False,False,,,,,0.000666667,,
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,2,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3333,1,1,1,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (1 lower for SINGLE+G, 1 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,False,False,False,False,,,,,0.000666667,,
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,2,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,-0.3333,1,1,1,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (1 lower for SINGLE+G, 1 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,False,False,False,False,,,,,0.000666667,,
SINGLE+G vs MULTI-G,deepseek,"DeepSeek V4-Pro (open weights, hosted)",tight,5000,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,2,,,99.1667,,,,,,,,,,,,,,,-0.3333,1,1,1,"SINGLE+G lower weighted tardiness on the 2 differing item(s) (1 lower for SINGLE+G, 1 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000666667,,
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,false_block,pp,lower is better,the 96 matched benign twins,96,52,1,4,1,90,5,2.0833,5.2083,-3.1250,-8.3333,1.0417,-7.2917,0.0000,-9.2632,2.0458,-8.0064,0.9870,0.2940,-7.7670,1.1114,-6.9767,0.0000,0.5663,-0.0312,0.375,1,1,MULTI-G more often blocked false,SINGLE+G,5.0000,indeterminate,0.23545,0.208213,indeterminate,indeterminate,equivalence established,6,9,12,12,False,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000666667,na,na
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,catch,pp,higher is better,the 96 labelled violations,96,52,22,1,6,67,23,29.1667,7.2917,21.8750,13.5417,30.2083,14.5833,29.1667,13.1788,31.0206,14.5974,29.4965,0.3489,12.6437,31.1111,13.9785,29.6312,0.9028,0.2188,5.72205e-06,5.14984e-05,0.00047493,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,0.99995,0.99992,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000666667,14.3572,20.2278
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,passthrough,pp,lower is better,the 96 labelled violations,96,52,16,4,6,70,20,22.9167,10.4167,12.5000,4.1667,21.8750,5.2083,19.7917,3.6402,21.6076,5.1017,20.0883,0.3009,3.8095,21.4953,5.2083,20.0000,0.3797,0.1250,0.0118179,0.0945435,0.874527,SINGLE+G more often passed through,MULTI-G,5.0000,equivalence refuted,0.9619,0.952931,equivalence refuted,equivalence refuted,indeterminate,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000666667,13.3018,18.5259
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,15,,,0.0224,-0.6139,0.8687,-0.5131,0.6901,,,,,,-0.6075,0.9030,-0.5172,0.7096,0.0342,-0.5667,0.0541382,0.649658,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (11 lower for SINGLE+G, 4 lower for MULTI-G)",MULTI-G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000666667,,
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,15,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5667,0.0541382,0.649658,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (11 lower for SINGLE+G, 4 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,True,True,,,,,0.000666667,,
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,15,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,-0.5667,0.0541382,0.649658,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (11 lower for SINGLE+G, 4 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,True,True,True,True,,,,,0.000666667,,
SINGLE+G vs MULTI-G,sonnet,Claude Sonnet 5 (closed),tight,6000,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,15,,,93.7500,,,,,,,,,,,,,,,-0.5667,0.0541382,0.649658,1,"SINGLE+G lower weighted tardiness on the 15 differing item(s) (11 lower for SINGLE+G, 4 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000666667,,
SINGLE+G vs MULTI-G,opus,"Claude Opus 5 (closed, flagship)",tight,6500,false_block,pp,lower is better,the 96 matched benign twins,96,52,3,0,1,92,3,4.1667,1.0417,3.1250,0.0000,7.2917,1.0417,6.2500,-0.9097,8.8138,0.0324,7.5781,0.4920,0.0000,7.0707,0.9174,6.3830,0.2210,0.0312,0.25,1,1,SINGLE+G more often blocked false,MULTI-G,5.0000,indeterminate,0.17975,0.145516,indeterminate,indeterminate,equivalence established,6,9,12,12,False,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000666667,na,na
