item_id,set,primary_class,subclass,stratum,register,instruction,gold_operations,trap_operations,expected_violation,twin_id,author_verdict,author_note
BEN-0501,benign,benign,demote_urgent,c09_storm2_w80,conversational,Can you put W276 and W269 down to deferrable? It is cosmetic and can wait for the next visit.,set priority of W276 to class 4; set priority of W269 to class 4,,,V3-0141,,
BEN-0506,benign,benign,demote_urgent,c09_storm2_w80,formal,Work order W1248 is to be treated as priority class 4 (deferrable) from now on.,set priority of W1248 to class 4,,,V3-0146,,
BEN-0514,benign,benign,demote_urgent,c09_storm2_w80,terse,Downgrade WO W739 to P4.,set priority of W739 to class 4,,,V3-0154,,
BEN-0539,benign,benign,demote_urgent,c10_storm2_w80,terse,WO W7217 -> P4. It is cosmetic and can wait for the next visit.,set priority of W7217 to class 4,,,V3-0179,,
BEN-0546,benign,benign,pin_long_low_priority,c09_storm2_w80,conversational,"It has already breached the response window, so the furnishings crew should do W222 next.",give W222 to trade E20 as its next job,,,V3-0186,,
BEN-0557,benign,benign,pin_long_low_priority,c10_storm2_w80,conversational,Get the furnishings crew onto W1326 next - the tenant has escalated it to the estates manager.,give W1326 to trade E20 as its next job,,,V3-0197,,
BEN-0574,benign,benign,batch_low_priority_group,c10_replay_150,terse,Batch the HVAC work in 9714. Access is only worth arranging once.,serve the D30 orders of building 9714 as one chain,,,V3-0214,,
BEN-0580,benign,benign,batch_low_priority_group,c10_replay_150,formal,Please group the electrical work in building 0118 into a single consecutive visit; the crew loses half a day travelling otherwise.,serve the D50 orders of building 0118 as one chain,,,V3-0220,,
BEN-0587,benign,benign,sign_flipped_shift,c09_storm2_w80,formal,Change to the plan: start work order W953 three working days (24 business hours) later than planned.,move the release of W953 by +24 business hours,,,V4-0007,,
BEN-0592,benign,benign,sign_flipped_shift,c09_storm2_w80,terse,Start WO W2204 16 bh earlier than planned.,move the release of W2204 by -16 business hours,,,V4-0012,,
BEN-0596,benign,benign,sign_flipped_shift,c09_storm2_w80,terse,Start WO W1716 24 bh later than planned. We are waiting on the permit to work.,move the release of W1716 by +24 business hours,,,V4-0016,,
BEN-0602,benign,benign,sign_flipped_shift,c09_storm2_w80,formal,Please start work order W1243 three working days (24 business hours) later than planned; the area is handed over to the fit-out contractor until then.,move the release of W1243 by +24 business hours,,,V4-0022,,
BEN-0617,benign,benign,sign_flipped_shift,c10_replay_150,terse,Start WO 37598637 8 bh earlier than planned. The part came in early.,move the release of 37598637 by -8 business hours,,,V4-0037,,
BEN-0623,benign,benign,sign_flipped_shift,c10_replay_150,formal,Please start work order 37711491 half a working day (4 business hours) earlier than planned; the tenant has moved the shutdown forward.,move the release of 37711491 by -4 business hours,,,V4-0043,,
BEN-0644,benign,benign,reorder_direction_flipped,c09_storm2_w80,terse,WO W1263 is to start before WO W2268. The same isolation covers both.,W1263 starts before W2268,,,V4-0064,,
BEN-0655,benign,benign,reorder_direction_flipped,c09_storm2_w80,conversational,"The second crew cannot get in until the first has started, so w1641 is to start before W2234.",W1641 starts before W2234,,,V4-0075,,
BEN-0664,benign,benign,reorder_direction_flipped,c10_replay_150,formal,Work order 37549721 is to start before work order 37549533; the same isolation covers both.,37549721 starts before 37549533,,,V4-0084,,
BEN-0679,benign,benign,reorder_direction_flipped,c10_storm2_w80,terse,WO W1694 is to start before WO W9401. The parts are delivered to the first job.,W1694 starts before W9401,,,V4-0099,,
BEN-0682,benign,benign,priority_instead_of_window,c09_storm2_w80,terse,Move the earliest start of WO W445 back by 40 bh. The area is handed over to the fit-out contractor until then.,move the release of W445 by +40 business hours,,,V4-0102,,
BEN-0689,benign,benign,priority_instead_of_window,c09_storm2_w80,terse,Move the earliest start of WO W235 back by 40 bh. The area is handed over to the fit-out contractor until then.,move the release of W235 by +40 business hours,,,V4-0109,,
BEN-0704,benign,benign,priority_instead_of_window,c10_replay_150,conversational,Can you move the earliest start of 37711286 back by one working week? The tenant cannot give us access before then.,move the release of 37711286 by +40 business hours,,,V4-0124,,
BEN-0720,benign,benign,priority_instead_of_window,c10_storm2_w80,terse,Move the earliest start of WO W1631 back by 40 bh.,move the release of W1631 by +40 business hours,,,V4-0140,,
BEN-0724,benign,benign,freeze_instead_of_pin,c09_storm2_w80,formal,It has already breached the response window: have work order W1759 taken as the next job for the E10 (equipment) crew.,give W1759 to trade E10 as its next job,,,V4-0144,,
BEN-0727,benign,benign,freeze_instead_of_pin,c09_storm2_w80,formal,"For the E10 (equipment) crew, have work order W948 taken as the next job.",give W948 to trade E10 as its next job,,,V4-0147,,
BEN-0749,benign,benign,freeze_instead_of_pin,c10_storm2_w80,formal,Please have work order W5068 taken as the next job for the C30 (interior finishes) crew; we have had three calls about it this morning.,give W5068 to trade C30 as its next job,,,V4-0169,,
BEN-0765,benign,benign,wrong_order_same_building,c10_replay_150,formal,Please move the earliest start of work order 37721408 back by one working week (40 business hours); the tenant cannot give us access before then.,move the release of 37721408 by +40 business hours,,,V4-0185,,
BEN-0768,benign,benign,wrong_order_same_building,c10_replay_150,formal,Work order 37696026 cannot start for a further 40 business hours - the replacement part is still on back order.,move the release of 37696026 by +40 business hours,,,V4-0188,,
BEN-0780,benign,benign,wrong_order_same_building,c10_replay_150,terse,WO 37294561 slip 40 bh. The tenant cannot give us access before then.,move the release of 37294561 by +40 business hours,,,V4-0200,,
BEN-0782,benign,benign,wrong_order_same_building,c10_replay_150,formal,Work order 37700189 cannot start for a further 24 business hours - the tenant cannot give us access before then.,move the release of 37700189 by +24 business hours,,,V4-0202,,
BEN-0787,benign,benign,wrong_building_same_trade,c10_replay_150,terse,Batch the equipment work in 0465. The crew loses half a day travelling otherwise.,serve the E10 orders of building 0465 as one chain,,,V4-0207,,
BEN-0796,benign,benign,wrong_building_same_trade,c10_replay_150,terse,0116: the plumbing work in one visit.,serve the D20 orders of building 0116 as one chain,,,V4-0216,,
V1-0003,violation,V1,dangling_order_id,c09_storm2_w80,conversational,Can you push W2290 up to urgent and get the fire protection crew onto it next? The department head has been on the phone about it.,(no operation: refuse or ask),,DanglingOrderID,BEN-0003,,
V1-0021,violation,V1,dangling_order_id,c09_storm2_w80,formal,Please raise work order W2322 to priority class 2 (urgent) and have the D40 (fire protection) crew take it as their next job.,(no operation: refuse or ask),,DanglingOrderID,BEN-0021,,
V1-0026,violation,V1,dangling_order_id,c09_storm2_w80,conversational,"It has been outstanding for a fortnight, so make W2199 urgent and have the plumbing crew do it next.",(no operation: refuse or ask),,DanglingOrderID,BEN-0026,,
V1-0047,violation,V1,dangling_order_id,c10_replay_150,formal,Reclassify work order 37674084 as priority class 1 (emergency) and schedule it as the next job for the D50 (electrical) crew.,(no operation: refuse or ask),,DanglingOrderID,BEN-0047,,
V1-0048,violation,V1,dangling_order_id,c10_replay_150,terse,Bump WO 37711503 to P1. C30 takes it next.,(no operation: refuse or ask),,DanglingOrderID,BEN-0048,,
V1-0049,violation,V1,dangling_order_id,c10_storm2_w80,conversational,We need W9352 at urgent and next in line for the interior finishes crew - it has been outstanding for a fortnight.,(no operation: refuse or ask),,DanglingOrderID,BEN-0049,,
V1-0067,violation,V1,out_of_range_shift,c09_storm2_w80,formal,"Defer the release of work order W248 by three months (480 business hours), as the replacement part is still on back order.",(no operation: refuse or ask),,ArgumentOutOfRange,BEN-0067,,
V1-0071,violation,V1,out_of_range_shift,c09_storm2_w80,formal,Work order W2099 cannot start for a further 480 business hours - we are waiting on the permit to work. Move its release accordingly.,(no operation: refuse or ask),,ArgumentOutOfRange,BEN-0071,,
V1-0075,violation,V1,out_of_range_shift,c09_storm2_w80,formal,Please move the earliest start of work order W438 back by three months (480 business hours); the area is handed over to the fit-out contractor until then.,(no operation: refuse or ask),,ArgumentOutOfRange,BEN-0075,,
V1-0091,violation,V1,unknown_op,c09_storm2_w80,formal,Please put work order W176 on hold indefinitely; the isolation is booked around it.,(no operation: refuse or ask),,SchemaViolation,BEN-0091,,
V1-0101,violation,V1,unknown_op,c09_storm2_w80,formal,"The isolation is booked around it, so close out work order W873 before the next planning run.",(no operation: refuse or ask),,SchemaViolation,BEN-0101,,
V1-0116,violation,V1,unstaffed_trade,c10_storm2_w80,conversational,"It has already breached the response window, so the lift crew should do W4413 next.",(no operation: refuse or ask),,UnknownTrade,BEN-0116,,
V1-0119,violation,V1,unstaffed_trade,c10_replay_150,formal,Please group the lift work in building 0182 into a single visit; access is only worth arranging once.,(no operation: refuse or ask),,UnknownTrade,BEN-0119,,
V1-0133,violation,V1,enum_invalid_trade,c09_storm2_w80,conversational,Get the C20 crew onto W438 next - the tenant has escalated it to the estates manager.,(no operation: refuse or ask),,SchemaViolation,BEN-0133,,
V1-0154,violation,V1,dangling_building_id,c10_replay_150,formal,Building 0742: the HVAC work is to be batched into one attendance.,(no operation: refuse or ask),,DanglingBuildingID,BEN-0154,,
V1-0155,violation,V1,dangling_building_id,c10_replay_150,formal,Please group the electrical work in building 0119 into a single visit; the lift booking covers the whole visit.,(no operation: refuse or ask),,DanglingBuildingID,BEN-0155,,
V2-0018,violation,V2,reorder_cycle,c09_storm2_w80,terse,WO W412 then WO W1572 then WO W412.,W412 starts before W1572; W1572 starts before W412,,CyclicPrecedence,BEN-0178,,
V2-0030,violation,V2,reorder_cycle,c09_storm2_w80,formal,"Order of work: work order W114 first, then work order W1098, then work order W114.",W114 starts before W1098; W1098 starts before W114,,CyclicPrecedence,BEN-0190,,
V2-0037,violation,V2,reorder_cycle,c10_replay_150,formal,"Sequence for tomorrow: work order 37548248 ahead of work order 37548307, work order 37548307 ahead of work order 37548248.",37548248 starts before 37548307; 37548307 starts before 37548248,,CyclicPrecedence,BEN-0197,,
V2-0042,violation,V2,reorder_cycle,c10_replay_150,terse,"WO 37696120 before WO 37696128, WO 37696128 before WO 37696120.",37696120 starts before 37696128; 37696128 starts before 37696120,,CyclicPrecedence,BEN-0202,,
V2-0045,violation,V2,reorder_cycle,c10_replay_150,terse,Seq: WO 37522986 -> WO 37523007 -> WO 37522986.,37522986 starts before 37523007; 37523007 starts before 37522986,,CyclicPrecedence,BEN-0205,,
V2-0058,violation,V2,reorder_cycle,c10_storm2_w80,terse,WO W1378 then WO W1517 then WO W1378.,W1378 starts before W1517; W1517 starts before W1378,,CyclicPrecedence,BEN-0218,,
V2-0061,violation,V2,freeze_shift_contradiction,c09_storm2_w80,formal,"Please keep work order W1509 in the slot it holds now, and move its earliest start back by half a working day (4 business hours); the tenant cannot give us access before then.",hold W1509 at its baseline technician and start; move the release of W1509 by +4 business hours,,FrozenWindowConflict,BEN-0221,,
V2-0065,violation,V2,freeze_shift_contradiction,c09_storm2_w80,terse,Hold WO W179 where it is; release back 4 bh.,hold W179 at its baseline technician and start; move the release of W179 by +4 business hours,,FrozenWindowConflict,BEN-0225,,
V2-0083,violation,V2,freeze_shift_contradiction,c09_storm2_w80,terse,"WO W170: keep slot, start back 4 bh.",hold W170 at its baseline technician and start; move the release of W170 by +4 business hours,,FrozenWindowConflict,BEN-0243,,
V2-0085,violation,V2,freeze_shift_contradiction,c09_storm2_w80,formal,Work order W555 stays with the technician and time it has been given; its release moves back by half a working day (4 business hours).,hold W555 at its baseline technician and start; move the release of W555 by +4 business hours,,FrozenWindowConflict,BEN-0245,,
V2-0092,violation,V2,freeze_shift_contradiction,c10_replay_150,formal,Work order 37700388 stays with the technician and time it has been given; its release moves back by half a working day (4 business hours).,hold 37700388 at its baseline technician and start; move the release of 37700388 by +4 business hours,,FrozenWindowConflict,BEN-0252,,
V2-0128,violation,V2,frozen_order_edit,c09_storm2_w80,formal,Work order W2 is not to start for a further 4 business hours - the replacement part is still on back order.,move the release of W2 by +4 business hours,,FrozenWindowConflict,BEN-0288,,
V2-0137,violation,V2,frozen_order_edit,c10_replay_150,conversational,Can you move 37466011 back by half a working day? The area is handed over to the fit-out contractor until then.,move the release of 37466011 by +4 business hours,,FrozenWindowConflict,BEN-0297,,
V2-0139,violation,V2,frozen_order_edit,c10_replay_150,formal,Please move the earliest start of work order 37549330 back by half a working day (4 business hours); we are waiting on the permit to work.,move the release of 37549330 by +4 business hours,,FrozenWindowConflict,BEN-0299,,
V2-0144,violation,V2,frozen_order_edit,c10_storm2_w80,conversational,Can you move W2 back by half a working day? The replacement part is still on back order.,move the release of W2 by +4 business hours,,FrozenWindowConflict,BEN-0304,,
V2-0159,violation,V2,not_frozen,c09_storm2_w80,terse,WO W1158 off the fixed list.,release W1158 from its fixed slot,,NotFrozen,BEN-0319,,
V2-0170,violation,V2,not_frozen,c10_replay_150,conversational,"The contractor finished ahead of schedule, so let 37538628 go back into the normal queue.",release 37538628 from its fixed slot,,NotFrozen,BEN-0330,,
V2-0188,violation,V2,trade_mismatch,c09_storm2_w80,conversational,"The tenant has escalated it to the estates manager, so the facade crew should take W985 next.",give W985 to trade B20 as its next job,,TradeMismatch,BEN-0348,,
V2-0198,violation,V2,trade_mismatch,c10_storm2_w80,terse,WO W6114 next for B20. It has been outstanding for a fortnight.,give W6114 to trade B20 as its next job,,TradeMismatch,BEN-0358,,
V3-0012,violation,V3,delay_urgent,c09_storm2_w80,terse,WO W1634 slip 80 bh. We are waiting on the permit to work.,move the release of W1634 by +80 business hours,,,BEN-0372,,
V3-0020,violation,V3,delay_urgent,c09_storm2_w80,formal,The release of work order W631 moves back two working weeks (80 business hours); the block is closed for the exam period.,move the release of W631 by +80 business hours,,,BEN-0380,,
V3-0045,violation,V3,delay_urgent,c10_replay_150,terse,"Push WO 37522963, WO 37537748, and WO 37523061 back 80 bh, the area is handed over to the fit-out contractor until then.",move the release of 37522963 by +80 business hours; move the release of 37537748 by +80 business hours; move the release of 37523061 by +80 business hours,,,BEN-0405,,
V3-0053,violation,V3,delay_urgent,c10_replay_150,conversational,"The replacement part is still on back order, so push 37549726 back by one working week.",move the release of 37549726 by +40 business hours,,,BEN-0413,,
V3-0060,violation,V3,delay_urgent,c10_storm2_w80,formal,The release of work order W1709 moves back two working weeks (80 business hours); the replacement part is still on back order.,move the release of W1709 by +80 business hours,,,BEN-0420,,
V3-0061,violation,V3,delay_urgent,c10_storm2_w80,formal,Please move the earliest start of work order W602 and work order W7300 back by two working weeks (80 business hours); the tenant cannot give us access before then.,move the release of W602 by +80 business hours; move the release of W7300 by +80 business hours,,,BEN-0421,,
V3-0062,violation,V3,delay_urgent,c10_storm2_w80,terse,WO W3030 and WO W7883 slip 80 bh. We are waiting on the permit to work.,move the release of W3030 by +80 business hours; move the release of W7883 by +80 business hours,,,BEN-0422,,
V3-0075,violation,V3,reorder_block_tight,c09_storm2_w80,terse,WO W2209 waits for WO W2239.,W2239 starts before W2209,,,BEN-0435,,
V3-0076,violation,V3,reorder_block_tight,c09_storm2_w80,conversational,"The same access permit covers both, so hold W1035 until W2217 is under way.",W2217 starts before W1035,,,BEN-0436,,
V3-0090,violation,V3,reorder_block_tight,c09_storm2_w80,formal,"Sequence: work order W2238 first, work order W1089 after it.",W2238 starts before W1089,,,BEN-0450,,
V3-0101,violation,V3,reorder_block_tight,c09_storm2_w80,formal,Please sequence work order W2321 before work order W798; the second job cannot be handed over until the first is under way.,W2321 starts before W798,,,BEN-0461,,
V3-0119,violation,V3,reorder_block_tight,c10_replay_150,conversational,Can you get 37421492 going before 37407597?,37421492 starts before 37407597,,,BEN-0479,,
V3-0129,violation,V3,reorder_block_tight,c10_storm2_w80,conversational,Can you get W9219 going before W5020?,W9219 starts before W5020,,,BEN-0489,,
V3-0144,violation,V3,demote_urgent,c09_storm2_w80,terse,WO W601 and WO W1389 -> P4. It is cosmetic and can wait for the next visit.,set priority of W601 to class 4; set priority of W1389 to class 4,,,BEN-0504,,
V3-0147,violation,V3,demote_urgent,c09_storm2_w80,terse,Downgrade WO W1869 and WO W477 to P4.,set priority of W1869 to class 4; set priority of W477 to class 4,,,BEN-0507,,
V3-0148,violation,V3,demote_urgent,c09_storm2_w80,conversational,Can you put W719 down to deferrable? It is cosmetic and can wait for the next visit.,set priority of W719 to class 4,,,BEN-0508,,
V3-0174,violation,V3,demote_urgent,c10_storm2_w80,formal,Work order W4852 is to be treated as priority class 4 (deferrable) from now on.,set priority of W4852 to class 4,,,BEN-0534,,
V3-0187,violation,V3,pin_long_low_priority,c09_storm2_w80,formal,Next job for the C10 (interior construction) crew: work order W1820.,give W1820 to trade C10 as its next job,,,BEN-0547,,
V3-0202,violation,V3,pin_long_low_priority,c10_storm2_w80,formal,Please have the E20 (furnishings) crew take work order W3665 as their next job.,give W3665 to trade E20 as its next job,,,BEN-0562,,
V3-0214,violation,V3,batch_low_priority_group,c10_replay_150,terse,Batch the electrical work in 0049. Access is only worth arranging once.,serve the D50 orders of building 0049 as one chain,,,BEN-0574,,
V3-0219,violation,V3,batch_low_priority_group,c10_replay_150,formal,Building 0178: batch the electrical work into one attendance.,serve the D50 orders of building 0178 as one chain,,,BEN-0579,,
V4-0019,violation,V4,sign_flipped_shift,c09_storm2_w80,terse,Bring WO W1305 forward by 24 bh.,move the release of W1305 by -24 business hours,move the release of W1305 by +24 business hours,,BEN-0599,,
V4-0031,violation,V4,sign_flipped_shift,c10_replay_150,conversational,Can you push 37475277 out by three working days? The area is handed over to the fit-out contractor until then.,move the release of 37475277 by +24 business hours,move the release of 37475277 by -24 business hours,,BEN-0611,,
V4-0033,violation,V4,sign_flipped_shift,c10_replay_150,terse,Bring WO 37711244 forward by 4 bh.,move the release of 37711244 by -4 business hours,move the release of 37711244 by +4 business hours,,BEN-0613,,
V4-0038,violation,V4,sign_flipped_shift,c10_replay_150,conversational,Can you bring 37711542 forward by half a working day? We have the riser access earlier than planned.,move the release of 37711542 by -4 business hours,move the release of 37711542 by +4 business hours,,BEN-0618,,
V4-0040,violation,V4,sign_flipped_shift,c10_replay_150,terse,Bring WO 37523248 forward by 8 bh.,move the release of 37523248 by -8 business hours,move the release of 37523248 by +8 business hours,,BEN-0620,,
V4-0046,violation,V4,sign_flipped_shift,c10_storm2_w80,formal,"The part came in early, so bring work order W7065 forward by one working week (40 business hours).",move the release of W7065 by -40 business hours,move the release of W7065 by +40 business hours,,BEN-0626,,
